firm,contract_or_piid,reason
"PEOPLETEC, INC.",HQ086023F0005,thin_description
"PEOPLETEC, INC.",HQ086023F0006,thin_description
WYZKYDS CONSULTING LLC,HQ086023C7200,thin_description
"VALT ENTERPRIZES, INC.",HQ086024C7303,thin_description
"CONTROL VISION, INC.",HQ086024C7300,thin_description
"MODUS OPERANDI, INC.",HQ086024C7301,thin_description
Advanced Technology And Research Corp.,,no_piid_in_contract_text
Arete Associates,,no_piid_in_contract_text
Beacon Interactive Systems LLC,,no_piid_in_contract_text
"CornerTurn, LLC",,no_piid_in_contract_text
La Jolla Logic Inc.,,no_piid_in_contract_text
"Mayflower Communications Company, Inc.",,no_piid_in_contract_text
Pacific Science & Engineering Group,,no_piid_in_contract_text
Programs Management Analytics,,no_piid_in_contract_text
Scalable Network Technologies,,no_piid_in_contract_text
Soar Technology,,no_piid_in_contract_text
"Azure Summit Technology, Inc.",,no_piid_in_contract_text
"Blue Storm Associates, Inc.  dba PEMDAS Technologies & Innovations",,no_piid_in_contract_text
"Daniel H. Wagner Associates, Inc.",,no_piid_in_contract_text
"Defense Unicorns, Inc.",,no_piid_in_contract_text
"G2 Ops, Inc.",,no_piid_in_contract_text
ITA International LLC,,no_piid_in_contract_text
"R Cubed Engineering, LLC",,no_piid_in_contract_text
"Seemann Composites, LLC",,no_piid_in_contract_text
"SOLUTE Inc., a  Sigma Defense Systems LLC",,no_piid_in_contract_text
Vulcan Wireless Inc,,no_piid_in_contract_text
202 Group LLC  (BlueVoyant Government Solutions),,no_piid_in_contract_text
"Adaptive Methods, Inc.",,no_piid_in_contract_text
Advanced Acoustic Concepts LLC,,no_piid_in_contract_text
American Systems Corp,,no_piid_in_contract_text
Architecture Technology Corporation,,no_piid_in_contract_text
"Bascom Hunter Technologies, Inc.",,no_piid_in_contract_text
BSC Partners LLC,,no_piid_in_contract_text
"Carley Technologies, Inc.",,no_piid_in_contract_text
"Craft Engineering Associates, Inc.",,no_piid_in_contract_text
Creare LLC,,no_piid_in_contract_text
Frontier Technology Inc.,,no_piid_in_contract_text
"G2 Ops, Inc.",,no_piid_in_contract_text
GBL Systems Corporation,,no_piid_in_contract_text
IT Cadre LLC,,no_piid_in_contract_text
Jardon & Howard Technologies Inc.,,no_piid_in_contract_text
Knexus Research,,no_piid_in_contract_text
"L3 Technologies, Inc.",,no_piid_in_contract_text
"Lasermotive, (now PowerLight Technologies)",,no_piid_in_contract_text
Makai Ocean Engineering,,no_piid_in_contract_text
North Star Scientific,,no_piid_in_contract_text
Progeny Systems Corporation,,no_piid_in_contract_text
"SEACORP, LLC",,no_piid_in_contract_text
"SEACORP, LLC",,no_piid_in_contract_text
"SimVentions, Inc.",,no_piid_in_contract_text
Systems & Technology Research,,no_piid_in_contract_text
Technology Service Corporation (TSC),,no_piid_in_contract_text
Test & Evaluation Solution,,no_piid_in_contract_text
"The Consulting Network, Inc.",,no_piid_in_contract_text
"Ultra Communications, Inc.",,no_piid_in_contract_text
"Valkyrie Enterprises, LLC",,no_piid_in_contract_text
"VRC Metal Systems, LLC",,no_piid_in_contract_text
"3 Phoenix, Inc. (now Ultra Electronics Ocean Systems)",,no_piid_in_contract_text
Aculight Corporation,,no_piid_in_contract_text
Advanced Acoustic Concepts LLC,,no_piid_in_contract_text
"Advanced Scientific Concepts, LLC",,no_piid_in_contract_text
"Beam-Wave Research, Inc.",,no_piid_in_contract_text
"ES3  (Engineering & Software System Solutions, Inc.)",,no_piid_in_contract_text
Frontier Technology Inc.,,no_piid_in_contract_text
"Frontier Technology, Inc.",,no_piid_in_contract_text
Fuse Integration Inc.,,no_piid_in_contract_text
IMSAR LLC.,,no_piid_in_contract_text
Innovative Defense Technologies LLC,,no_piid_in_contract_text
Kinetic Protection,,no_piid_in_contract_text
L3 Adaptive Methods Inc.,,no_piid_in_contract_text
Logos Technologies LLC,,no_piid_in_contract_text
"Makai Ocean Engineering, Inc.",,no_piid_in_contract_text
"MI Technical Solutions, Inc.",,no_piid_in_contract_text
MIKEL Inc.,,no_piid_in_contract_text
Mikros Systems Corporation,,no_piid_in_contract_text
Platform Aerospace,,no_piid_in_contract_text
Progeny Systems Corporation,,no_piid_in_contract_text
Progeny Systems Corporation,,no_piid_in_contract_text
Progeny Systems Corporation,,no_piid_in_contract_text
Progeny Systems Corporation,,no_piid_in_contract_text
"RDA, an SDi Company",,no_piid_in_contract_text
Rock West Composites,,no_piid_in_contract_text
"SAFE, Inc.",,no_piid_in_contract_text
Signal Systems Corporation,,no_piid_in_contract_text
3 Phoenix (now Ultra),,no_piid_in_contract_text
"Bascom Hunter Technologies, Inc.",,no_piid_in_contract_text
Frontier Technology Inc.,,no_piid_in_contract_text
Innovative Defense Technologies,,no_piid_in_contract_text
Innovative Defense Technologies LLC,,no_piid_in_contract_text
Materials Sciences LLC,,no_piid_in_contract_text
"Oceanit Laboratories, Inc.",,no_piid_in_contract_text
"RE2, LLC a subsidiary of Sarcos Technology and Robotics Corporation",,no_piid_in_contract_text
"SeaLandAire Technologies, Inc.",,no_piid_in_contract_text
Sedna Digital Solutions,,no_piid_in_contract_text
SimVentions Inc.,,no_piid_in_contract_text
"3 Phoenix, Inc. (Ultra Electronics Ocean Systems)",,no_piid_in_contract_text
"3E Technologies International, Inc. (Ultra Electronics)",,no_piid_in_contract_text
Aret� Associates,,no_piid_in_contract_text
"ATA Engineering, Inc.",,no_piid_in_contract_text
"Azure Summit Technology, Inc.",,no_piid_in_contract_text
L3Harris - Adaptive Methods,,no_piid_in_contract_text
"Marine Acoustics, Inc.",,no_piid_in_contract_text
"W5 Technologies, Inc.",,no_piid_in_contract_text
"3 Phoenix, Inc. (Ultra Electronics Ocean Systems)",,no_piid_in_contract_text
Aret� Associates,,no_piid_in_contract_text
Aurora Flight Sciences Corporation,,no_piid_in_contract_text
Creare LLC,,no_piid_in_contract_text
Innovative Defense Technologies,,no_piid_in_contract_text
L3Harris - Chesapeake Sciences Corporation,,no_piid_in_contract_text
Progeny Systems Corporation,,no_piid_in_contract_text
Propel LLC,,no_piid_in_contract_text
"Sedna Digital Solutions, LLC",,no_piid_in_contract_text
Seemann Composites (Materials Sciences Corporation),,no_piid_in_contract_text
Beacon Interactive Systems,,no_piid_in_contract_text
"ES3 - Engineering & Software System Solutions, Inc.",,no_piid_in_contract_text
"Etegent Technologies, Ltd.",,no_piid_in_contract_text
"Innovative Technology, Inc.",,no_piid_in_contract_text
Lynntech Inc.,,no_piid_in_contract_text
Metamagnetics Inc.,,no_piid_in_contract_text
Progeny Systems Corporation,,no_piid_in_contract_text
Soar Technology Inc.,,no_piid_in_contract_text
"Stottler Henke Assoc., Inc.",,no_piid_in_contract_text
"Structural Composites, Inc.",,no_piid_in_contract_text
Toyon Research Corp.,,no_piid_in_contract_text
Bihrle Applied Research,,no_piid_in_contract_text
"C3I, Inc.",,no_piid_in_contract_text
"Dragonfly Pictures, Inc. (DPI UAV Systems)",,no_piid_in_contract_text
Mercury Defense Systems Fka KOR Electronics Defense & Intelligence Electronics,,no_piid_in_contract_text
METSS Corporation,,no_piid_in_contract_text
"Technical Data Analysis, Inc.",,no_piid_in_contract_text
"Thermal Wave Imaging, Inc.",,no_piid_in_contract_text
Hydronalix,,no_piid_in_contract_text
InfraScan Inc.,,no_piid_in_contract_text
Mid� Technology Corporation,,no_piid_in_contract_text
"Mikros Systems, Inc.",,no_piid_in_contract_text
Progeny Systems Corporation,,no_piid_in_contract_text
TICOM Geomatics/CACI,,no_piid_in_contract_text
Adaptive Methods Inc.,,no_piid_in_contract_text
Kent Optronics Inc.,,no_piid_in_contract_text
Mid� Technology Corporation,,no_piid_in_contract_text
"KCF Technologies, Inc.",,no_piid_in_contract_text
Lynntech Inc.,,no_piid_in_contract_text
Optical Physics Company,,no_piid_in_contract_text
Out of the Fog Research LLC,,no_piid_in_contract_text
"Princeton Power Systems, Inc.",,no_piid_in_contract_text
"Techno-Sciences, Inc.",,no_piid_in_contract_text
Trex Enterprises Corporation,,no_piid_in_contract_text
"Vehicle Control Technologies, Inc.",,no_piid_in_contract_text
3 Phoenix Inc.,,no_piid_in_contract_text
"Aptima, Inc.",,no_piid_in_contract_text
Aret� Associates,,no_piid_in_contract_text
Basic Commerce and Industries Inc.,,no_piid_in_contract_text
"C3I, Inc.",,no_piid_in_contract_text
Creare Inc.,,no_piid_in_contract_text
Cybernet Systems Corporation,,no_piid_in_contract_text
"Daniel H. Wagner Associates, Inc.",,no_piid_in_contract_text
"Daniel H. Wagner Associates, Inc.",,no_piid_in_contract_text
Impact Technologies,,no_piid_in_contract_text
Innovative Defense Technologies,,no_piid_in_contract_text
"KCF Technologies, Inc.",,no_piid_in_contract_text
L3Harris - Chesapeake Sciences Corporation,,no_piid_in_contract_text
"Makai Ocean Engineering, Inc.",,no_piid_in_contract_text
"Metron, Inc.",,no_piid_in_contract_text
Mid� Technology Corporation,,no_piid_in_contract_text
"MIKEL, Inc.",,no_piid_in_contract_text
Mikros,,no_piid_in_contract_text
"Ocean Power Technologies, Inc.",,no_piid_in_contract_text
Pathfinder Systems,,no_piid_in_contract_text
Plasan US (formerly KaZaK Composites),,no_piid_in_contract_text
"Promia, Inc.",,no_piid_in_contract_text
Real-Time Innovations,,no_piid_in_contract_text
"Scientific Solutions, Inc.",,no_piid_in_contract_text
"Sierra Lobo, Inc.",,no_piid_in_contract_text
Syntonics LLC,,no_piid_in_contract_text
"Thermal Wave Imaging, Inc.",,no_piid_in_contract_text
Trident Systems,,no_piid_in_contract_text
"Aerodyne Research, Inc.",,no_piid_in_contract_text
"Diversified Technologies, Inc.",,no_piid_in_contract_text
"Triton Systems, Inc.",,no_piid_in_contract_text
TRX Systems,,no_piid_in_contract_text
Mayflower Communications,,no_piid_in_contract_text
Pratt Miller Defense,,no_piid_in_contract_text
Orbital Research,,no_piid_in_contract_text
Wilder Systems,,no_piid_in_contract_text
Compass Technology Group,,no_piid_in_contract_text
Disruptive EW Machines,,no_piid_in_contract_text
DEFCON AI,,no_piid_in_contract_text
Clear Align LLC,,no_piid_in_contract_text
Castelion Corporation,,no_piid_in_contract_text
ASYLON Inc.,,no_piid_in_contract_text
Electra,,no_piid_in_contract_text
Varda Space Industries,,no_piid_in_contract_text
Starfish Space,,no_piid_in_contract_text
Orbital Sidekick,,no_piid_in_contract_text
K2 Space,,no_piid_in_contract_text
Braxton Technologies,,no_piid_in_contract_text
Modern Technology Solutions,,no_piid_in_contract_text
LMI,,no_piid_in_contract_text
Stell Engineering,,no_piid_in_contract_text
Empirical Systems Aerospace,,no_piid_in_contract_text
Made In Space,,no_piid_in_contract_text
Advanced Space,,no_piid_in_contract_text
ICON,,no_piid_in_contract_text
Katalyst Space Technologies,,no_piid_in_contract_text
Spectral Energies,,no_piid_in_contract_text
Techshot,,no_piid_in_contract_text
Honeybee Robotics,,no_piid_in_contract_text
Advanced Optical Systems,,no_piid_in_contract_text
Black Swift Technologies,,no_piid_in_contract_text
SubUAS LLC,,no_piid_in_contract_text
Harmonia Holdings,,no_piid_in_contract_text
Blue Canyon Technologies,,no_piid_in_contract_text
Radiant Analytic Solutions,H9222217C0034,thin_description
Ceebus Technologies,H9222214P0003,thin_description
Intellisense Systems,SP470126C0028,piid_not_in_universe
Mainstream Engineering Corp,SP470123C0040,thin_description
Morphix Technologies,HDTRA110C0037,thin_description
Michigan Aerospace Corp,HDTRA111C0054,thin_description
Protection Engineering Consultants,HDTRA113C0012,thin_description
General Sciences,HDTRA107C0074,thin_description
Creare LLC,W81XWH13C0194,thin_description
Pelagique,W81XWH11C0529,thin_description
Phase Forward,W81XWH08C0707,thin_description
NeuroWave Systems,W81XWH20C0115,thin_description
Emergent Travel Health,W81XWH16C0127,thin_description
Moberg Research,W81XWH12C0189,thin_description
LaunchBay,W81XWH12C0172,thin_description
Cornerstone Research Group,W81XWH15C0050,thin_description
Sonivate Medical,W81XWH12C0194,thin_description
BioSentinel,W81XWH13C0093,thin_description
Advanced Circulatory Systems,W81XWH12C0181,thin_description
Cube Technology,W81XWH12C0262,thin_description
Redwire Space Technologies,W81XWH15C0005,thin_description
Think-A-Move,W81XWH14C1398,thin_description
Touch of Life Technologies,W81XWH11C0002,thin_description
Arete Associates,HT942524C0018,thin_description
Commonwealth Informatics,W81XWH18C0023,thin_description
