ffrdc_name,agency,sub_agency,admin_name,admin_type,loc_state,activity
Homeland Security Systems Engineering and Development Institute,Department of Homeland Security,Science and Technology Directorate,MITRE Corp.,nonprofit institutions other than universities and colleges,Virginia,Systems engineering and integration centers
Idaho National Laboratory,Department of Energy, ,"Battelle Energy Alliance, LLC",nonprofit institutions other than universities and colleges,Idaho,Research and development laboratories
Jet Propulsion Laboratory,National Aeronautics and Space Administration,,California Institute of Technology,"universities and colleges, including university consortia",California,Research and development laboratories
Lawrence Berkeley National Laboratory,Department of Energy,,University of California,"universities and colleges, including university consortia",California,Research and development laboratories
Lawrence Livermore National Laboratory,Department of Energy,,"Lawrence Livermore National Security, LLC",industrial firms,California,Research and development laboratories
Lincoln Laboratory,Department of Defense,Office of the Under Secretary of Defense for Research and Engineering,Massachusetts Institute of Technology,"universities and colleges, including university consortia",Massachusetts,Research and development laboratories
Los Alamos National Laboratory,Department of Energy,,"Triad National Security, LLC",industrial firms,New Mexico,Research and development laboratories
National Biodefense Analysis and Countermeasures Center,Department of Homeland Security,Science and Technology Directorate,Battelle National Biodefense Institute,nonprofit institutions other than universities and colleges,Maryland,Study and analysis centers
National Center for Atmospheric Research,,,,,,
National Cybersecurity Center of Excellence,Department of Commerce,National Institute of Standards and Technology,MITRE Corp.,nonprofit institutions other than universities and colleges,Maryland,Systems engineering and integration centers
National Defense Research Institute,Department of Defense,Office of the Under Secretary of Defense for Acquisition and Sustainment,RAND Corp.,nonprofit institutions other than universities and colleges,California,Study and analysis centers
National Laboratory of the Rockies,Department of Energy,,"Alliance for Energy Innovation, LLC",nonprofit institutions other than universities and colleges,Colorado,Research and development laboratories
National Radio Astronomy Observatory,National Science Foundation,,"Associated Universities, Inc.","universities and colleges, including university consortia",Virginia,Research and development laboratories
National Security Engineering Center,Department of Defense,Office of the Under Secretary of Defense for Research and Engineering,MITRE Corp.,nonprofit institutions other than universities and colleges,Virginia,Systems engineering and integration centers
National Solar Observatory,National Science Foundation,,"Association of Universities for Research in Astronomy, Inc.","universities and colleges, including university consortia",Colorado,Research and development laboratories
NSF National Center for Atmospheric Research,National Science Foundation,,University Corporation for Atmospheric Research,"universities and colleges, including university consortia",Colorado,Research and development laboratories
NSF National Optical-Infrared Astronomy Research Laboratory,National Science Foundation,,"Association of Universities for Research in Astronomy, Inc.","universities and colleges, including university consortia",Arizona,Research and development laboratories
Oak Ridge National Laboratory ,Department of Energy,,"UT-Battelle, LLC",nonprofit institutions other than universities and colleges,Tennessee,Research and development laboratories
Pacific Northwest National Laboratory,Department of Energy,,Battelle Memorial Institute,nonprofit institutions other than universities and colleges,Washington,Research and development laboratories
Princeton Plasma Physics Laboratory ,Department of Energy,,Princeton University,"universities and colleges, including university consortia",New Jersey,Research and development laboratories
Project Air Force,Department of Defense,Department of the Air Force,RAND Corp.,nonprofit institutions other than universities and colleges,California,Study and analysis centers
Sandia National Laboratories ,Department of Energy,,"National Technology and Engineering Solutions of Sandia, LLC",industrial firms,New Mexico,Research and development laboratories
Savannah River National Laboratory,Department of Energy,,"Battelle Savannah River Alliance, LLC",nonprofit institutions other than universities and colleges,South Carolina,Research and development laboratories
Science and Technology Policy Institute,National Science Foundation,,Institute for Defense Analyses,nonprofit institutions other than universities and colleges,Virginia,Study and analysis centers
SLAC National Accelerator Laboratory,Department of Energy,,Stanford University,"universities and colleges, including university consortia",California,Research and development laboratories
Software Engineering Institute,Department of Defense,Office of the Under Secretary of Defense for Research and Engineering,Carnegie Mellon University,"universities and colleges, including university consortia",Pennsylvania,Research and development laboratories
Systems and Analyses Center,Department of Defense,Office of the Under Secretary of Defense for Acquisition and Sustainment,Institute for Defense Analyses,nonprofit institutions other than universities and colleges,Virginia,Study and analysis centers
Thomas Jefferson National Accelerator Facility,Department of Energy,,"Jefferson Science Associates, LLC","universities and colleges, including university consortia",Virginia,Research and development laboratories
