firm,agency,command,prior_sbir,transition_contract,transition_value,year,transition_type,stratum,has_contract_id,source_url,description
Cube Technology,DHA,DHA,,W81XWH12C0262,"$1,327,986",2012,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH12C0262_9700_-NONE-_-NONE-,SBIR Phase III
Redwire Space Technologies,DHA,DHA,ERMS 14245004,W81XWH15C0005,"$1,139,985",2015,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH15C0005_9700_-NONE-_-NONE-,ASES prototype
Think-A-Move,DHA,DHA,,W81XWH14C1398; W81XWH18C0339,"$1,054,949; $281,629",2014,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH14C1398_9700_-NONE-_-NONE-,Battlefield medical situational awareness
Aptitude Medical Systems,DHA,DHA,,W81XWH22C0067,"$999,998",2022,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH22C0067_9700_-NONE-_-NONE-,Real-time small-volume blood sampling
Luna Innovations,DHA,DHA,,W81XWH18C0349,"$965,000",2018,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH18C0349_9700_-NONE-_-NONE-,E.coli/coliform drinking-water assay
Vector Test Systems,DHA,DHA,,W81XWH16C0085,"$958,952",2016,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH16C0085_9700_-NONE-_-NONE-,Zika antigen-detection assay
Operative Experience,DHA,DHA,DHA 2016.1,W81XWH21C0088; W81XWH13C0151,"$882,391; $349,650",2021,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH21C0088_9700_-NONE-_-NONE-,Severe-trauma female simulation training
Radiation Monitoring Devices,DHA,DHA,,HT942525CE048,"$865,836",2025,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_HT942525CE048_9700_-NONE-_-NONE-,Back-face deformation dynamic X-ray test
Touch of Life Technologies,DHA,DHA,,W81XWH11C0002,"$632,577",2010,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH11C0002_9700_-NONE-_-NONE-,SBIR Phase III
Cognitive Medical Systems,DHA,DHA,HHS 18.1 NIH/NCI topic 377,W81XWH19C0174,"$500,532",2019,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH19C0174_9700_-NONE-_-NONE-,Surgical-anesthesia recommender
Arete Associates,DHA,DHA,,HT942524C0018; W81XWH21C0100,"$416,754; $349,904",2024,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_HT942524C0018_9700_-NONE-_-NONE-,DHA SBIR Phase III
Commonwealth Informatics,DHA,DHA,,W81XWH18C0023,"$396,210",2017,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH18C0023_9700_-NONE-_-NONE-,PVDAS
Neya Systems,DHA,DHA,TATRC,W81XWH16C0075,"$285,342",2016,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH16C0075_9700_-NONE-_-NONE-,HCI/C2 for autonomous casualty evacuation
Kyos Systems,DHA,DHA,,W81XWH15C0098,"$251,705",2015,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH15C0098_9700_-NONE-_-NONE-,Medical-data pre-processing for pharmacovigilance
Human Systems Integration,DHA,DHA,DHA 2017.1,W81XWH20C0130,"$243,946",2020,procurement,hard,yes,https://www.usaspending.gov/award/CONT_AWD_W81XWH20C0130_9700_-NONE-_-NONE-,Acoustic-sensing compression garment
