area,updates_slot,relevance,year,first_author,title,venue,cites,fwci,doi,openalex_id
D,"L19,L20,L21 — TechLink/NCI/ITIF impact studies (grey lit)",adjacent,2020,Joshua M. Pearce,Economic savings for scientific free and open source technology: A review,HardwareX,177,26.52,10.1016/j.ohx.2020.e00139,W3083786622
D,"L19,L20,L21 — TechLink/NCI/ITIF impact studies (grey lit)",adjacent,2019,Enrico Vanino,Knowledge to money: Assessing the business performance effects of publicly-funded R&amp;D grants,Research Policy,101,22.58,10.1016/j.respol.2019.04.001,W2937808429
D,"L19,L20,L21 — TechLink/NCI/ITIF impact studies (grey lit)",core,2021,Lauren Lanahan,Do public R&amp;D subsidies produce jobs? Evidence from the SBIR/STTR program,Research Policy,43,7.84,10.1016/j.respol.2021.104286,W3170812896
D,"L19,L20,L21 — TechLink/NCI/ITIF impact studies (grey lit)",adjacent,2023,Olawe Alaba Tula,ANALYZING GLOBAL EVOLUTION OF MATERIALS RESEARCH FUNDING AND ITS INFLUENCE ON INNOVATION LANDSCAPE: A CASE STUDY OF U.S. INVESTMENT STRATEGIES,Engineering Science & Technology Journal,41,15.8,10.51594/estj.v4i3.556,W4386715008
D,"L19,L20,L21 — TechLink/NCI/ITIF impact studies (grey lit)",adjacent,2020,Jacquelyn Pless,Bringing rigour to energy innovation policy evaluation,Nature Energy,43,8.29,10.1038/s41560-020-0557-1,W3006640070
E,"L14,L15,L18 — GAO/CRS/SBA program documentation",adjacent,2020,Ross Brown,Mission-oriented or mission adrift? A critical examination of mission-oriented innovation policies,European Planning Studies,85,31.14,10.1080/09654313.2020.1779189,W3035144905
E,"L14,L15,L18 — GAO/CRS/SBA program documentation",core,2021,Vivek Bhattacharya,An Empirical Model of R&amp;D Procurement Contests: An Analysis of the DOD SBIR Program,Econometrica,32,3.11,10.3982/ecta16581,W3200867643
E,"L14,L15,L18 — GAO/CRS/SBA program documentation",core,2023,Albert N. Link,The U.S. Small Business Technology Transfer (STTR) Program: An Assessment and an Evaluation of the Program,Annals of Science and Technology Policy,7,3.86,10.1561/110.00000027,W4323647891
E,"L14,L15,L18 — GAO/CRS/SBA program documentation",core,2024,Yanbo Wang,Who captures the state? Evidence from irregular awards in a public innovation grant program,Strategic Management Journal,5,5.24,10.1002/smj.3635,W4400513158
E,"L14,L15,L18 — GAO/CRS/SBA program documentation",core,2023,Brandon Ewing,Small business innovation research/small business technology transfer (SBIR/STTR),Elsevier eBooks,1,4.71,10.1016/b978-0-12-823026-8.00079-1,W4366667179
F,"L24,L25 — Kortum&Lerner (2000), NVCA Yearbook",adjacent,2020,Josh Lerner,Venture Capital’s Role in Financing Innovation: What We Know and How Much We Still Need to Learn,The Journal of Economic Perspectives,486,57.81,10.1257/jep.34.3.237,W3039276754
F,"L24,L25 — Kortum&Lerner (2000), NVCA Yearbook",adjacent,2020,Yan Alperovych,Bridging the equity gap for young innovative companies: The design of effective government venture capital fund programs,Research Policy,86,12.7,10.1016/j.respol.2020.104051,W3038847430
F,"L24,L25 — Kortum&Lerner (2000), NVCA Yearbook",adjacent,2021,Julie Lenzer,Fueling Spin-offs: Case Studies Of University-Based Technology Start-Up Funding,Technology & Innovation,3,0.9,10.21300/21.4.2021.4,W3179748119
F,"L24,L25 — Kortum&Lerner (2000), NVCA Yearbook",adjacent,2026,Shiyuan Liu,Financial Inclusion and Small Business Innovation: Evidence from China's Specialized Bank Branches,SSRN Electronic Journal,0,,10.2139/ssrn.6944975,W7164805481
F,"L24,L25 — Kortum&Lerner (2000), NVCA Yearbook",adjacent,2025,"Narain, Namrata",Institutions and Incentives in R&D Finance,Digital Access to Scholarship at Harvard (DASH) (Harvard University),0,0.0,,W7113155965
