oid,year,title,venue,type,cites,fwci,doi,n_auth,first_auth,topic,is_sbir,from_tight,cited_via_anchor,is_oa,relevance,area,title_key,score
W4323647891,2023,The U.S. Small Business Technology Transfer (STTR) Program: An Assessment and an Evaluation of the Program,Annals of Science and Technology Policy,article,7,3.8634,10.1561/110.00000027,1,Albert N. Link,,True,True,False,True,core,E,the us small business technology transfer sttr program an assessment and an evaluation of the program,38.317
W4294219103,2022,An assessment of the US Small Business Innovation Research (SBIR) program: A study of project failure,Science and Public Policy,article,6,1.3904,10.1093/scipol/scac049,3,Albert N. Link,,True,True,False,False,core,E,an assessment of the us small business innovation research sbir program a study of project failure,20.951999999999998
W4400513158,2024,Who captures the state? Evidence from irregular awards in a public innovation grant program,Strategic Management Journal,article,5,5.2415,10.1002/smj.3635,3,Yanbo Wang,,False,True,False,True,core,E,who captures the state evidence from irregular awards in a public innovation grant program,37.0
W2927289245,2019,An Assessment of the Small Business Innovation Research Fast Track Program in Southeastern States,Edward Elgar Publishing eBooks,book-chapter,4,1.6138,10.4337/9781788116336.00015,1,Albert N. Link,,True,True,False,False,core,E,an assessment of the small business innovation research fast track program in southeastern states,20.069
W3093510056,2020,Small Business Innovation Research (SBIR) and Small Business Technology Transfer (STTR),,article,3,0.4299,,1,Brayden Songe,,True,True,False,False,core,E,small business innovation research sbir and small business technology transfer sttr,13.1495
W4403463372,2024,SBIR mills and the U.S. Department of Defense,The Journal of Technology Transfer,article,3,3.045,10.1007/s10961-024-10144-z,2,Albert N. Link,,True,True,False,True,core,E,sbir mills and the us department of defense,30.225
W2980084645,2021,SBIR/STTR Grants: Introduction and Overview,,article,2,0.569,10.21428/b2e239dc.37b3089a,3,David Lee,,True,True,False,True,core,E,sbirsttr grants introduction and overview,12.844999999999999
W2951014623,2019,Technology Maturity in NASA’s Small Business Innovation Research Program,,book-chapter,2,6.6236,10.1007/978-3-030-00114-8_36,5,Andrea Belz,,True,True,False,False,core,E,technology maturity in nasas small business innovation research program,30.0
W4402806918,2024,Introduction to the Special Issue on the Globalization of the U.S. Small Business Innovation Research (SBIR) Program,Annals of Science and Technology Policy,article,2,1.0041,10.1561/110.00000028-1,1,Albert N. Link,,True,True,False,True,core,E,introduction to the special issue on the globalization of the us small business innovation research sbir program,19.0205
W4366667179,2023,Small business innovation research/small business technology transfer (SBIR/STTR),Elsevier eBooks,book-chapter,1,4.7057,10.1016/b978-0-12-823026-8.00079-1,1,Brandon Ewing,,True,True,False,False,core,E,small business innovation researchsmall business technology transfer sbirsttr,33.0
W4412755756,2025,The Shifting Geography of Innovation in the Era of COVID-19: Exploring Small Business Innovation and Technology Awards in the U.S.,Urban Science,article,1,2.3598,10.3390/urbansci9080296,1,Bradley Bereitschaft,,True,True,False,True,core,E,the shifting geography of innovation in the era of covid19 exploring small business innovation and technology awards in the us,24.799
W1939354529,2019,The U.S. Small Business Innovation Research Program,SpringerBriefs in entrepreneurship and innovation,book-chapter,1,0.0,10.1007/978-3-030-21534-7_3,2,Albert N. Link,,True,True,False,False,core,E,the us small business innovation research program,9.0
W4407026431,2025,Small Business Innovative Research (SBIR) and Small Business Technology Transfer (STTR),Elsevier eBooks,book-chapter,0,0.0,10.1016/b978-0-323-91790-2.00078-2,2,Syed Haider,,True,True,False,False,core,E,small business innovative research sbir and small business technology transfer sttr,12.0
W3134921906,2019,Furthering Inclusion of Minority Serving Institutions (MSIs) in the Johnson Space Center (JSC) Small Business Innovation Research (SBIR) / SBIR Technology Transfer (STTR) Program,ThinkTech (Texas Tech University),article,0,0.0,,3,Doug Goodman,,True,True,False,True,core,E,furthering inclusion of minority serving institutions msis in the johnson space center jsc small business innovation research sbir  sbir technology transfer sttr program,8.0
W7160287636,2023,Pathway to Successful Inclusion of Tribal Colleges and Universities (TCUs) in the Johnson Space Center (JSC) Small Business Innovation Research (SBIR) / SBIR Technology Transfer (STTR) Program,,article,0,0.0,10.32865/2346/94739,3,Doug Goodman,,True,True,False,True,core,E,pathway to successful inclusion of tribal colleges and universities tcus in the johnson space center jsc small business innovation research sbir  sbir technology transfer sttr program,12.0
