relevance,area,year,first_author,n_authors,title,venue,type,citations,fwci,open_access,doi,openalex_id
adjacent,B,2024,Tomasz Mickiewicz,2,‘In the company of cheerful ladies’: whether female entrepreneurs are more productive?,Small Business Economics,article,5,3.1596,True,10.1007/s11187-024-00929-9,W4397008508
adjacent,B,2024,Jaeyeong Nam,2,"Development burdens: state contact centers, administrative burden, and economic development policy",The Journal of Technology Transfer,article,3,3.0375,False,10.1007/s10961-024-10113-6,W4400355038
adjacent,B,2024,Dolores Kuchina‐Musina,2,Public Procurement for Innovation,,book,3,1.8588,False,10.4324/9781003398455,W4391614090
adjacent,B,2024,Albert N. Link,1,Why public sector technology transfer?,Edward Elgar Publishing eBooks,book-chapter,1,6.1632,True,10.4337/9781035310531.00011,W4392716793
adjacent,B,2024,Rachel Levitin,3,Encouraging Underrepresented and Entrepreneurial-Minded Postdocs in High-Tech Startups,,article,1,0.1628,False,10.18260/1-2--41994,W4391577842
adjacent,B,2023,Annalisa Caloffi,4,Innovation intermediaries' types and functions: A computational analysis of the literature,Technological Forecasting and Social Change,article,66,35.8719,True,10.1016/j.techfore.2023.122351,W4318313244
adjacent,B,2023,Dorothea Schäfer,3,The impact of public procurement on financial barriers to general and green innovation,Small Business Economics,article,50,12.6906,True,10.1007/s11187-023-00790-2,W4385219095
adjacent,B,2023,Jeffrey Savage,2,Testing the waters: founding team composition and search heuristics in academic entrepreneurial ventures,Industrial and Corporate Change,article,3,0.7936,True,10.1093/icc/dtad069,W4389425554
adjacent,B,2023,Malcolm Townes,1,The Role of Technology Maturity Level in the Occurrence of University Technology Transfer,Preprints.org,preprint,2,,True,10.20944/preprints202301.0504.v1,W4318305672
adjacent,B,2023,A. S Patrucco,3,INTERNATIONAL AND INTERDISCIPLINARY ∙ Policies to Stimulate Industrial Innovation by Small and Medium-Sized Enterprises:,European Procurement & Public Private Partnership Law Review,article,1,0.2555,True,10.21552/epppl/2023/1/9,W4365799346
adjacent,B,2022,Annalisa Caloffi,5,Assessing the effects of a deliberate policy mix: The case of technology and innovation advisory services and innovation vouchers,Research Policy,article,37,8.5682,True,10.1016/j.respol.2022.104535,W4224882728
adjacent,B,2022,Ivy Schultz,3,The impact of the National Science Foundation’s Innovation Corps (I-Corps) on academic innovation and entrepreneurship,The European Physical Journal D,review,9,1.441,True,10.1140/epjd/s10053-022-00562-9,W4311184806
adjacent,B,2022,Sang-Min Park,2,Translational research: from basic research to regional biomedical entrepreneurship,Small Business Economics,article,8,1.7398,True,10.1007/s11187-022-00676-9,W4293569013
adjacent,B,2022,Knut Koschatzky,6,"Public-private partnerships in research and innovation - Case studies from Australia, Austria, Sweden and the United States",Econstor (Econstor),preprint,5,,True,10.24406/publica-fhg-297531,W2280196567
adjacent,B,2022,A. M. M. Todd,11,Nurturing the Industrial Accelerator Technology Base in the US,arXiv (Cornell University),preprint,4,,True,10.48550/arxiv.2203.10377,W4226332766
adjacent,B,2022,Chaitanya Baru,12,The NSF Convergence Accelerator program,AI Magazine,article,3,0.9321,True,10.1002/aaai.12032,W4229374641
adjacent,B,2022,Thaddeus McEwen,7,Applying a ‘Mentor-Protégé’ Approach to Broadening Participation of Hbcu’s in the National Innovation Network,Technology & Innovation,article,3,0.8699,True,10.21300/22.3.2022.9,W4312872688
adjacent,B,2022,Kaitlyn Ryan,4,Innovation Transition Success: Practice Doesn’t Make Perfect,Defense Acquisition Research Journal,article,1,0.1554,True,10.22594/dau.21-872.29.04,W4294050469
adjacent,B,2021,Fatima Hafsa,3,Social Public Purchasing: Addressing a Critical Void in Public Purchasing Research,Public Administration Review,article,31,4.3544,True,10.1111/puar.13438,W3202353039
adjacent,B,2021,"Olivari, Mattia",3,Space technology transfers and their commercialisation,"OECD science, technology and industry policy papers",report,15,,True,10.1787/0e78ff9f-en,W3185232594
adjacent,B,2021,Abhinav Nadh Thirupathi,3,A machine learning approach to detect early signs of startup success,,article,13,2.0341,True,10.1145/3490354.3494374,W4285333959
adjacent,B,2021,Diogo Bezerra Borges,3,Programs and Instruments for Promoting Innovation with Technology-Based Companies in Brazil,Journal of technology management & innovation,article,11,1.7829,True,10.4067/s0718-27242021000200028,W3198725720
adjacent,B,2021,Benjamin Anderson,5,Insights from the evaluations of the NIH Centers for Accelerated Innovation and Research Evaluation and Commercialization Hubs programs,Journal of Clinical and Translational Science,article,9,0.1697,True,10.1017/cts.2021.878,W3216727581
adjacent,B,2021,Richard S. Katzman,2,Technology Transfer and Commercialization as a Source for New Revenue Generation for Higher Education Institutions and for Local Economies,,book-chapter,5,4.4413,True,10.1007/978-3-030-78893-3_8,W3204017195
adjacent,B,2021,Kh. Danylkiv,3,FEATURES OF INNOVATIVE DEVELOPMENT OF SMALL ENTREPRENEURSHIP STRUCTURES IN FOREIGN COUNTRIES AND ITS USE IN UKRAINE,Efektyvna ekonomika,article,5,1.7451,True,10.32702/2307-2105-2021.11.94,W3216044869
adjacent,B,2021,Brittany Connors,6,Investor initiatives program: Public‐private partnerships to expedite commercialization for NCI‐funded small business entrepreneurs,Clinical and Translational Science,review,4,0.8971,True,10.1111/cts.13119,W3192038810
adjacent,B,2021,Sergio Salles-Filho,4,Effectiveness by Design: Overcoming Orientation and Transaction Related Barriers in Research-Industry Linkages,Revista de Administração Contemporânea,article,3,0.5812,True,10.1590/1982-7849rac2021190346.en,W3165486391
adjacent,B,2021,Tristan L. Botelho,3,Innovation-Driven Entrepreneurship,Journal of Economic Literature,article,3,0.0,True,10.1257/jel.20251484,W3187311048
adjacent,B,2021,Chris Barton,3,Norm Transfer in US Technology Transfer: A Lesson for Policy Makers,Journal of technology management & innovation,article,2,0.603,True,10.4067/s0718-27242021000300035,W3214098958
adjacent,B,2021,Tatiana V. Korsakova,5,Digital Economy and its Importance in the Development of Small and Medium Innovative Enterprises,International Journal of Advanced Computer Science and Applications,article,1,0.1981,True,10.14569/ijacsa.2021.0121102,W4206052332
adjacent,B,2020,Jaime Bonnín Roca,2,The role of regulators in mitigating uncertainty within the Valley of Death,Technovation,article,46,4.8337,True,10.1016/j.technovation.2020.102157,W3042196102
adjacent,B,2020,Kathryn Nearing,13,I-Corps@NCATS trains clinical and translational science teams to accelerate translation of research innovations into practice,Journal of Clinical and Translational Science,article,19,0.9585,True,10.1017/cts.2020.561,W3111272182
adjacent,B,2020,Vaidy Vaidyanathan,2,A Holistic Approach To Teaching Engineering Entrepreneurship And Technology Commercialization,,article,12,2.5575,True,10.18260/1-2--12612,W2609323533
adjacent,B,2020,Thomas O’Neal,2,Turning Engineers Into Entrepreneurs And Transforming A Region,,article,9,1.1479,True,10.18260/1-2--13131,W2617756323
adjacent,B,2020,William Clark,1,Establishing A Technology Based Business Incubator At A Regional University: A Conceptual Framework And Case Study.,,article,6,1.1341,True,10.18260/1-2--15469,W2729079373
adjacent,B,2020,Ken Ports,4,Taking Senior Design Course Projects To Market,,article,4,0.3826,True,10.18260/1-2--13464,W2615724392
adjacent,B,2020,William Marshall,4,"The Development And Implementation Of An Interdisciplinary Graduate Course Linking Engineering, Medical, And Business Students With University Research Investigators To Develop Strategies To Commercialize New Technologies",,article,3,0.0,True,10.18260/1-2--12919,W2729673618
adjacent,B,2020,Daria Crisan,1,Buying With Intent: Public Procurement for Innovation by Provincial and Municipal Governments,The School of Public Policy Publications,article,1,0.0,True,10.55016/ojs/sppp.v13i1.69277,W3156720052
adjacent,B,2020,Ken Vickers,5,Launching An Innovation Incubator In A University Setting,,article,0,0.0,True,10.18260/1-2--10799,W2597771949
adjacent,B,2019,Maribel Guerrero,2,Effectiveness of technology transfer policies and legislation in fostering entrepreneurial innovations across continents: an overview,The Journal of Technology Transfer,article,140,31.0841,True,10.1007/s10961-019-09736-x,W2946405170
adjacent,B,2019,Maximilian Goethner,2,Cross-faculty proximity and academic entrepreneurship: the role of business schools,The Journal of Technology Transfer,article,40,6.5798,True,10.1007/s10961-019-09725-0,W2782260248
adjacent,B,2019,Christie A. Canaria,3,I‐Corps at NIH: Entrepreneurial Training Program Creating Successful Small Businesses,Clinical and Translational Science,article,14,2.5829,True,10.1111/cts.12637,W2944661839
adjacent,B,2019,Andrew Earle,3,"Strategy-as-Process in a Technology Venture: A Case Study of Pivots, Pauses, Partners, and Progress",Technology Innovation Management Review,article,9,1.6151,True,10.22215/timreview/1208,W2912068561
adjacent,B,2019,M.H. Abenova,1,FOREIGN EXPERIENCE OF DEVELOPMENT OF INNOVATIVE POTENTIAL OF SMALL AND MEDIUM ENTREPRENEURSHIP,SERIES OF SOCIAL AND HUMAN SCIENCES,article,6,3.0179,True,10.32014/2019.2224-5294.63,W2937294815
adjacent,B,2019,Jekaterina Novikova,1,From Research to Market:What the EU can learn from the USA?,eScholarship (California Digital Library),article,2,0.8684,True,,W2952060720
adjacent,B,2019,Norhadilah Abdul Hamid,100,Predictors of Commercialization Success in Product Innovation: A Systematic Research,International Journal of Innovative Technology and Exploring Engineering,article,1,0.0,True,10.35940/ijitee.l1022.10812s219,W4255054490
adjacent,C,2026,Quincy Quick,10,"Evolution of the U.S. Research Enterprise: Origins, Trends, and Future Directions",Journal of Research Management and Administration,article,0,0.0,True,10.18552/jorma.v5i1.1382,W7165481697
adjacent,C,2025,Umme Thayyiba Khatoon,2,An Overview on the Role of Government Initiatives in Nanotechnology Innovation for Sustainable Economic Development and Research Progress,Sustainability,article,103,36.094,True,10.3390/su17031250,W4407139393
adjacent,C,2025,Elizabeth Ofili,22,"The NIH Research Centers in Minority Institutions (RCMI): National and Public Health Impact as Measured by Collaborative Scientific Excellence, Investigator Development, and Community Engagement",International Journal of Environmental Research and Public Health,article,1,2.8022,True,10.3390/ijerph22111650,W4415719328
adjacent,C,2025,John R. Thomas,1,Multinational Patent Acquisition and Enforcement: Public Policy Challenges and Opportunities for Innovative Firms,SSRN Electronic Journal,article,0,,True,10.2139/ssrn.5157935,W4408023425
adjacent,C,2024,David B. Audretsch,3,Knowledge investment and search for innovation: evidence from the UK firms,The Journal of Technology Transfer,article,38,17.9697,True,10.1007/s10961-023-10045-7,W4392473584
adjacent,C,2023,David B. Audretsch,2,"Knowledge collaboration, firm productivity and innovation: A critical assessment",Journal of Business Research,article,40,10.2461,True,10.1016/j.jbusres.2023.114412,W4388994441
adjacent,C,2023,Alessandra Colombelli,3,When computer science is not enough: universities knowledge specializations behind artificial intelligence startups in Italy,The Journal of Technology Transfer,article,27,12.2356,True,10.1007/s10961-023-10029-7,W4385783184
adjacent,C,2023,Mariana Mazzucato,2,"Redirecting growth: inclusive, sustainable and innovation-led",Edward Elgar Publishing eBooks,book-chapter,22,104.4698,True,10.4337/9781788976541.00009,W4321230041
adjacent,C,2023,Olga Chiappinelli,3,Public Procurement as an Innovation Policy: Where Do We Stand?,SSRN Electronic Journal,article,5,,True,10.2139/ssrn.4343668,W4318698995
adjacent,C,2023,Lisa Larrimore Ouellette,1,Economic growth and breakthrough innovations: A case study of nanotechnology,SSRN Electronic Journal,article,3,,True,10.2139/ssrn.4434147,W2298584369
adjacent,C,2023,Farhat Chowdhury,3,Gender and innovation at the US National Institutes of Health,Small Business Economics,article,3,1.6279,False,10.1007/s11187-023-00740-y,W4323316811
adjacent,C,2023,Christopher Lee Parrish,1,Firm Social Capital and the Innovation Process,Annals of Science and Technology Policy,article,2,0.7832,True,10.1561/110.00000024,W3177644071
adjacent,C,2022,Iman Hemmatian,3,Exploring the role of R&amp;D collaborations and non-patent IP policies in government technology transfer performance: Evidence from U.S. federal agencies (1999–2016),PLoS ONE,article,10,2.5019,True,10.1371/journal.pone.0268828,W4285740343
adjacent,C,2022,Joshua C. R. Fletcher,4,Knowledge-based information and the effectiveness of R&amp;D in small firms,Small Business Economics,article,8,2.2251,False,10.1007/s11187-022-00630-9,W4293182903
adjacent,C,2022,J. C. Muir,9,Engaging More Women in Academic Innovation: Findings and Recommendations,Technology & Innovation,article,4,0.8699,True,10.21300/22.3.2022.2,W4213140427
adjacent,C,2021,A. B. Crawford,2,Federal Prize Competitions: Using Competitions to Promote Innovation in Artificial Intelligence,,report,2,,True,10.51593/2021ca002,W3208415279
adjacent,C,2020,Lorenzo Compagnucci,2,The Third Mission of the university: A systematic literature review on potentials and constraints,Technological Forecasting and Social Change,article,832,285.5614,True,10.1016/j.techfore.2020.120284,W3084900093
adjacent,C,2020,Josep Miquel Piqué,3,The Role of Universities in Shaping the Evolution of Silicon Valley’s Ecosystem of Innovation,Triple Helix Journal,article,48,9.3734,True,10.1163/21971927-bja10009,W3041680359
adjacent,C,2020,David Popp,4,Innovation and Entrepreneurship in the Energy Sector,National Bureau of Economic Research,report,47,,True,10.3386/w27145,W3002465687
adjacent,C,2020,James A. Cunningham,2,Latent technology as an outcome of R&amp;D,Technological Forecasting and Social Change,article,13,1.7931,True,10.1016/j.techfore.2020.120371,W3092040056
adjacent,C,2019,Nicholas Bloom,3,A Toolkit of Policies to Promote Innovation,The Journal of Economic Perspectives,article,553,89.7584,True,10.1257/jep.33.3.163,W2959394880
adjacent,C,2019,Ashish Arora,4,The Changing Structure of American Innovation: Some Cautionary Remarks for Economic Growth,Innovation Policy and the Economy,article,133,29.9137,True,10.1086/705638,W2946722863
adjacent,C,2019,Mattia Bianchi,3,R&amp;D Subsidies as Dual Signals in Technological Collaborations,Research Policy,article,125,20.8826,True,10.1016/j.respol.2019.103821,W2963780822
adjacent,C,2019,Albert N. Link,2,Exploring the impact of R&amp;D on patenting activity in small women-owned and minority-owned entrepreneurial firms,Small Business Economics,article,31,7.3372,True,10.1007/s11187-018-00130-9,W2906948432
adjacent,D,2025,Pierre Azoulay,3,"Indirect Cost Recovery in U.S. Innovation Policy: History, Evidence, and Avenues for Reform",National Bureau of Economic Research,report,4,,True,10.3386/w33627,W4409318916
adjacent,D,2025,Eugenie Dugoua,2,"The Economics of Climate Innovation: Technology, Climate Policy, and the Clean Energy Transition",Elsevier eBooks,article,0,0.0,True,10.1016/bs.hesecc.2026.02.003,W4416410942
adjacent,D,2024,Giovanna Ciaffi,3,Measuring the macroeconomic responses to public investment in innovation: evidence from OECD countries,Industrial and Corporate Change,article,37,37.0384,True,10.1093/icc/dtae005,W4391312086
adjacent,D,2024,Albert N. Link,1,Small Firm Research Supported by the National Institutes of Health’s National Cancer Institute,Annals of Science and Technology Policy,article,2,0.9961,True,10.1561/110.00000030,W4403890678
adjacent,D,2023,Olawe Alaba Tula,8,ANALYZING GLOBAL EVOLUTION OF MATERIALS RESEARCH FUNDING AND ITS INFLUENCE ON INNOVATION LANDSCAPE: A CASE STUDY OF U.S. INVESTMENT STRATEGIES,Engineering Science & Technology Journal,article,41,15.8003,True,10.51594/estj.v4i3.556,W4386715008
adjacent,D,2023,Helena Lenihan,5,R&amp;D grants and R&amp;D tax credits to foreign-owned subsidiaries: Does supporting multinational enterprises’ R&amp;D pay off in terms of firm performance improvements for the host economy?,The Journal of Technology Transfer,article,19,10.2642,True,10.1007/s10961-023-09995-9,W4320482033
adjacent,D,2023,Satish Kumar,2,An Analysis of Government Support Programs for Small Business Development and Growth,Scholedge International Journal of Business Policy & Governance ISSN 2394-3351,article,13,5.6076,True,10.19085/sijbpg100201,W4387460377
adjacent,D,2022,Chiara Criscuolo,4,Are industrial policy instruments effective?,"OECD science, technology and industry policy papers",paratext,18,,True,10.1787/57b3dae2-en,W4225370631
adjacent,D,2022,Jamie McCall,5,Extraordinary Times Call for Extraordinary Measures: Small Business Assistance During the Pandemic,,report,2,,True,10.46712/extraordinary.times,W4304166265
adjacent,D,2021,Sharon Belenzon,2,Guaranteed Markets and Corporate Scientific Research,National Bureau of Economic Research,preprint,35,,True,10.3386/w28644,W3154933283
adjacent,D,2021,Thomas Ziesemer,1,The Effects of R&amp;D Subsidies and Publicly Performed R&amp;D on Business R&amp;D: A Survey,Revista Hacienda Pública Española,article,11,3.0144,True,10.7866/hpe-rpe.21.1.6,W4400829701
adjacent,D,2021,Armineh L. Ghazarian,4,National Institute on Aging seed funding enables Alzheimer's disease startups to reach key value inflection points,Alzheimer s & Dementia,review,10,1.3825,True,10.1002/alz.12392,W3188890426
adjacent,D,2021,John Mann,3,Can Targeted Government Investment in Rural Establishments Induce Innovative Activity?,Economic Development Quarterly,article,6,1.1624,False,10.1177/08912424211067193,W4200357710
adjacent,D,2021,Ravshan Rakhmonovich Khaydarov,1,Assessing the Financial Mechanisms for Innovation Support in the Republic of Uzbekistan: A Comparative Analysis of Enablers and Constraints to Innovation Across Two Industries,Arrow - TU Dublin (Technological University Dublin),article,0,0.0,True,10.21427/dyny-2374,W3139499052
adjacent,D,2020,Joshua M. Pearce,1,Economic savings for scientific free and open source technology: A review,HardwareX,review,177,26.5211,True,10.1016/j.ohx.2020.e00139,W3083786622
adjacent,D,2020,Jacquelyn Pless,3,Bringing rigour to energy innovation policy evaluation,Nature Energy,article,43,8.2851,True,10.1038/s41560-020-0557-1,W3006640070
adjacent,D,2019,Enrico Vanino,3,Knowledge to money: Assessing the business performance effects of publicly-funded R&amp;D grants,Research Policy,article,101,22.5806,True,10.1016/j.respol.2019.04.001,W2937808429
adjacent,D,2019,Gaétan de Rassenfosse,3,The procurement of innovation by the U.S. government,PLoS ONE,article,39,4.5201,True,10.1371/journal.pone.0218927,W2967059728
adjacent,D,2019,Jürgen Janger,3,International differences in basic research grant funding – a systematic comparison,Econstor (Econstor),article,2,,True,10.13140/rg.2.2.32565.93922,W3123300813
adjacent,E,2023,Tien M. Nguyen,1,Perspective Chapter: Program Planning and Management for Defense Advanced Concept Technology Programs,IntechOpen eBooks,book-chapter,2,1.687,True,10.5772/intechopen.112864,W4387342783
adjacent,E,2021,Paul Tessier,4,RADx Tech Viability and Steering Panels: A Model for MedTech Translational Grant Review,IEEE Open Journal of Engineering in Medicine and Biology,article,4,0.2548,True,10.1109/ojemb.2021.3070821,W3157098265
adjacent,E,2021,Colleen V. Chien,2,Comments to the National Strategy for Expanding American Innovation,eYLS (Yale Law School),article,0,0.0,True,,W3153252461
adjacent,E,2020,Ross Brown,1,Mission-oriented or mission adrift? A critical examination of mission-oriented innovation policies,European Planning Studies,article,85,31.136,True,10.1080/09654313.2020.1779189,W3035144905
adjacent,F,2026,Shiyuan Liu,3,Financial Inclusion and Small Business Innovation: Evidence from China's Specialized Bank Branches,SSRN Electronic Journal,preprint,0,,True,10.2139/ssrn.6944975,W7164805481
adjacent,F,2025,"Narain, Namrata",1,Institutions and Incentives in R&D Finance,Digital Access to Scholarship at Harvard (DASH) (Harvard University),article,0,0.0,True,,W7113155965
adjacent,F,2021,Julie Lenzer,2,Fueling Spin-offs: Case Studies Of University-Based Technology Start-Up Funding,Technology & Innovation,article,3,0.8982,True,10.21300/21.4.2021.4,W3179748119
adjacent,F,2020,Josh Lerner,2,Venture Capital’s Role in Financing Innovation: What We Know and How Much We Still Need to Learn,The Journal of Economic Perspectives,article,486,57.8115,True,10.1257/jep.34.3.237,W3039276754
adjacent,F,2020,Yan Alperovych,3,Bridging the equity gap for young innovative companies: The design of effective government venture capital fund programs,Research Policy,article,86,12.6985,True,10.1016/j.respol.2020.104051,W3038847430
adjacent,F,2020,Daniel Pereira de Almeida,5,"Particularities in financing tools: A case study of an Agency for Science, Technology and Innovation of Rio de Janeiro State, Brazil",Revista de Administração Sociedade e Inovação,article,0,0.0,True,10.20401/rasi.6.2.438,W3022217969
adjacent,F,2020,Jeffrey Scott Behrens,1,Financing Biomedical Ventures - Myths and Realities,Infoscience (Ecole Polytechnique Fédérale de Lausanne),article,0,,True,10.5075/epfl-thesis-10146,W3166617152
adjacent,X,2023,Alessio Terzi,3,European industrial policy for the green and digital revolution,Science and Public Policy,article,43,48.4653,True,10.1093/scipol/scad018,W4380090515
core,A,2026,Elizabeth Kennedy,2,De-Risking Defense Innovation at the Earliest Stages: The Strategic Role of Entrepreneurial Fellowships and Early Non-Dilutive Grant Funding,Digital Access to Scholarship at Harvard (DASH) (Harvard University),article,0,0.0,True,,W7154549985
core,A,2026,Kyle R. Myers,3,Small Business Innovation Applied to National Needs,Entrepreneurship and Innovation Policy and the Economy,article,0,0.0,False,10.1086/738902,W7134140204
core,A,2025,Sabrina T Howell,4,Opening Up Military Innovation: Causal Effects of Reforms to US Defense Research,Journal of Political Economy,article,6,13.9297,True,10.1086/737235,W4411369481
core,A,2025,Kyle Myers,3,Small Business Innovation Applied to National Needs,National Bureau of Economic Research,report,2,,True,10.3386/w33945,W4411796279
core,A,2025,Kyle Myers,3,Small Business Innovation Applied to National Needs,SSRN Electronic Journal,article,1,,True,10.2139/ssrn.5330785,W4411823322
core,A,2023,Albert N. Link,2,Small Firms and U.S. Technology Policy,Edward Elgar Publishing eBooks,book,16,6.7414,False,10.4337/9781802205596,W4327551308
core,A,2022,Bevan Hart,1,Evaluating the Effectiveness of the Air Force’s Open Topic SBIR and STTR Process to Engage Small Business to Work on Defense,,dissertation,1,,True,10.31979/etd.muct-d7ap,W4224058432
core,A,2021,Sabrina T Howell,4,Opening up Military Innovation: Causal Eﬀects of Reforms to U.S. Defense Research,National Bureau of Economic Research,preprint,5,,True,10.3386/w28700,W3158964182
core,A,2019,Julia Kelly,2,Department of Defense: SBIR/STTR Grants and Other Contracts,ScholarlyCommons (University of Pennsylvania),article,1,0.4434,False,,W2979927119
core,B,2025,Bassam Abomoelak,5,Small business innovation research and small business technology transfer NIH grants,Elsevier eBooks,book-chapter,1,20.1564,False,10.1016/b978-0-12-821426-8.00099-6,W4410620443
core,B,2023,Hui Sun,4,How innovation funding leads enterprises to engage in research and development: Small and medium enterprises’ perspective,PLoS ONE,article,16,8.8307,True,10.1371/journal.pone.0289166,W4385254766
core,B,2023,Maribel Guerrero,3,"The transfer of federally funded technology: A study of small, entrepreneurial, and ambidextrous firms",Small Business Economics,article,5,1.2932,False,10.1007/s11187-023-00794-y,W4380624275
core,B,2023,H. Timothy Hsiao,1,Developing Translational Ventures with the Federal Small Business Innovation Research/Small Business Technology Transfer (SBIR/STTR) Seed Funds,Elsevier eBooks,book-chapter,0,0.0,False,10.1016/b978-0-323-88423-5.00089-3,W4385580114
core,B,2022,Riccardo Fini,4,Are public subsidies effective for university spinoffs? Evidence from SBIR awards in the University of California system,Research Policy,article,44,10.2856,True,10.1016/j.respol.2022.104662,W4309564736
core,B,2021,Raphael C. Sun,8,Advancing pediatric medical device development via non-dilutive NIH SBIR/STTR grant funding,Journal of Pediatric Surgery,article,12,0.4246,True,10.1016/j.jpedsurg.2021.01.025,W3124136698
core,B,2021,César Bandera,1,Teaching STEM Entrepreneurship With Societal Significance: Building on the Small Business Innovation Research Program,Entrepreneurship Education and Pedagogy,article,7,1.7434,False,10.1177/2515127421994785,W3134879827
